ID,Time_taken (min)
0x2318,23.217402365110146
0x3474,29.192714342842695
0x9420,29.453170104983066
0x72ee,22.24354093217107
0xa759,23.098589219108106
0xc4af,26.638307601635177
0x3b9d,9.958814879741851
0xdd42,23.360760672452578
0x872b,29.503364545991943
0x6001,22.498066575389227
0xd845,23.699472453529296
0x4946,21.056384697974824
0x4598,21.3948748858002
0xbd51,18.78643555852807
0x73ec,29.28812204931473
0x5ca7,27.92049461148193
0x9fa6,31.318539102578136
0x914e,23.938645041014603
0x36e5,24.09139006863165
0xd82e,24.13447421738507
0x1df3,39.786988674144254
0xa65,34.014070096176376
0x8b83,31.097473144746708
0x5b95,20.794569966228387
0xaa43,16.46632490720288
0x9995,29.05743438246501
0x1018,32.026336321423436
0x4af3,24.701713692574018
0x87a1,23.156316224092055
0xb64c,14.635767688183627
0x4b7e,16.172715761246337
0x252d,21.979841851679492
0x368e,17.469432694772642
0xe09,23.546664491026966
0x39aa,27.541179697560736
0xb542,27.24008808918063
0x7604,21.517041577146937
0x597c,36.71729690664578
0x184f,21.194831211375032
0x9442,27.356744271909516
0x84e,21.212697652823774
0xa6ba,32.39060590627737
0xb66b,23.947705416351056
0x9bb,20.398646572598334
0x8d9a,22.78838423236027
0x869f,27.643930978655256
0xc587,43.5175224217523
0x3167,21.73109452458973
0x4981,29.066746669245614
0x4c83,26.54374740273512
0x2493,17.389612983773034
0x21a5,22.534912717735427
0x5571,13.476635107101323
0x45b1,32.31208670890388
0xb1f0,30.622744997338128
0x75d9,25.462881602402096
0x46dd,23.145528166597625
0xc002,20.25776829789093
0x95e5,30.53191959355656
0x1c1f,21.503586515031756
0x45bd,20.381622597144787
0xb986,27.29246129652817
0x1761,38.17967094098979
0xb84c,35.07365462744195
0x69c3,31.48769018433851
0xd68c,31.747073980682487
0xd05f,37.71947497755224
0xb5f0,26.70706520170796
0x69a8,27.865696619372386
0xc9c5,27.83477065340933
0x478e,25.204542369779052
0x12dd,29.337320251823517
0x78e3,29.290133898386532
0x1661,24.030845396985264
0xcb17,15.667825045521866
0xdff4,24.27470868694215
0x75c3,27.36578071042622
0xceb4,25.082222333487415
0x8ae4,25.578083037665763
0xdb61,26.85983109723563
0x790,17.46899505626709
0x8968,28.45756624751602
0xa39a,20.883456257521875
0x8826,23.71180320527948
0x4c8c,27.389730513054136
0x103c,37.51641777619279
0x98a8,15.071555686565759
0xb338,22.8559195625971
0x366d,26.199788982884737
0x7d75,14.785522505518173
0x6d30,33.86446786993491
0x616f,29.84989778532077
0x9ee3,29.631566220628514
0x4d82,29.47394191457322
0xb757,25.562740549353432
0x2e53,19.481563438855897
0xd686,26.137660735436533
0x828d,18.05670674394511
0xb9f5,28.258192601083998
0x73c4,25.461451938525727
0xd427,28.830047604827477
0xc009,32.114686649386954
0x7030,21.21288929994143
0xc500,29.81900565923822
0xd0f4,20.202833945115664
0x6e8c,24.821529538300247
0xa1ee,27.06415221711579
0x4720,25.625532007278036
0x5691,49.40323714608254
0xb8f1,29.942853889532724
0xc790,36.53052736112643
